name,position,element,fixture,oppoine,opponentposition,was_home,difficulty,minutes,starts,goals_scored,assists,ict_index,influence,creativity,threat,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,red_cards,bonus,bps,total_points,value,xP,team_a_score,team_h_score,playerteamposition,penalties_missed,yellow_cards,clean_sheets,goals_conceded,saves,penalties_saved,team
Pascal Groß,MID,134,295,11,5,False,3,90,1,0.0,0.0,5.2,19.6,30.8,2,0.0,0.08,0.08,2.79,0,0,11,1,65,2.8,1,2,6,,1.0,0.0,2.0,,,Unknown
John McGinn,MID,50,291,20,13,True,4,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,53,0.0,0,2,7,,0.0,0.0,0.0,,,Unknown
Treymaurice Nyoni,MID,743,295,5,6,True,3,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,45,0.5,1,2,5,,0.0,0.0,0.0,,,Unknown
Tanguy Ndombélé Alvaro,MID,505,300,12,PROMOTED,True,5,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,44,0.0,1,2,8,,0.0,0.0,0.0,,,Unknown
Jairo Riedewald,MID,239,298,16,16,False,5,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,43,0.0,1,1,11,,0.0,0.0,0.0,,,Unknown
Reiss Nelson,MID,578,296,13,1,False,3,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,48,0.3,0,0,2,,0.0,0.0,0.0,,,Unknown
Ibrahim Sangaré,MID,713,298,8,11,True,4,45,1,0.0,0.0,1.1,5.4,2.8,3,0.02,0.02,0.04,0.86,0,0,10,1,49,0.8,1,1,16,,0.0,0.0,1.0,,,Unknown
Facundo Pellistri Rebollo,MID,394,293,4,9,False,4,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,42,0.0,1,1,3,,0.0,0.0,0.0,,,Unknown
Bruno Cavaco Jordão,MID,561,291,2,7,False,4,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,43,-0.5,0,2,13,,0.0,0.0,0.0,,,Unknown
Máximo Perrone,MID,363,296,1,2,True,3,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,44,0.0,0,0,1,,0.0,0.0,0.0,,,Unknown
Kevin Schade,MID,115,293,14,3,True,3,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,52,0.0,1,1,9,,0.0,0.0,0.0,,,Unknown
Lewis Warrington,MID,841,292,3,15,False,5,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,45,1.3,1,2,17,,0.0,0.0,0.0,,,Unknown
Anass Zaroury,MID,184,294,7,12,False,4,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,46,0.0,2,2,PROMOTED,,0.0,0.0,0.0,,,Unknown
Enso González,MID,698,291,2,7,False,4,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,50,-0.5,0,2,13,,0.0,0.0,0.0,,,Unknown
Romain Faivre,MID,799,292,9,17,True,5,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,50,0.0,1,2,15,,0.0,0.0,0.0,,,Unknown
Harvey Elliott,MID,295,295,5,6,True,3,7,0,0.0,0.0,0.9,0.0,0.9,10,0.03,0.01,0.04,0.2,0,0,2,1,48,2.5,1,2,5,,0.0,0.0,0.0,,,Unknown
Gabriel Martinelli Silva,MID,12,296,13,1,False,3,12,0,0.0,0.0,0.3,0.0,0.5,2,0.1,0.0,0.1,0.2,0,0,3,1,77,3.0,0,0,2,,0.0,0.0,0.0,,,Unknown
Oscar Bobb,MID,345,296,1,2,True,3,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,44,0.3,0,0,1,,0.0,0.0,0.0,,,Unknown
Ângelo Gabriel Borges Damaceno,MID,589,294,6,PROMOTED,True,5,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,50,0.0,2,2,12,,0.0,0.0,0.0,,,Unknown
Adama Traoré,MID,662,299,17,PROMOTED,False,5,27,0,0.0,1.0,4.1,15.6,11.3,14,0.03,0.18,0.21,1.19,0,0,11,4,49,3.3,3,3,10,,0.0,0.0,2.0,,,Unknown
Alex Mighten,MID,456,298,8,11,True,4,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,44,0.0,1,1,16,,0.0,0.0,0.0,,,Unknown
Bryan Mbeumo,MID,108,293,14,3,True,3,19,0,0.0,0.0,3.7,2.2,25.0,10,0.11,0.04,0.15,0.24,0,0,4,1,67,0.5,1,1,9,,0.0,0.0,1.0,,,Unknown
Nicolas Pépé,MID,16,296,13,1,False,3,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,49,0.0,0,0,2,,0.0,0.0,0.0,,,Unknown
Mauro Bandeira,MID,815,296,13,1,False,3,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,45,0.0,0,0,2,,0.0,0.0,0.0,,,Unknown
Alexis Mac Allister,MID,304,295,5,6,True,3,90,1,0.0,1.0,11.7,39.2,61.3,16,0.18,0.51,0.69,0.44,0,0,21,4,58,7.2,1,2,5,,1.0,0.0,1.0,,,Unknown
David Ozoh,MID,721,298,16,16,False,5,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,45,0.0,1,1,11,,0.0,0.0,0.0,,,Unknown
Sydie Peck,MID,759,299,10,10,True,4,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,44,-0.5,3,3,PROMOTED,,0.0,0.0,0.0,,,Unknown
Omari Kellyman,MID,618,291,20,13,True,4,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,45,0.5,0,2,7,,0.0,0.0,0.0,,,Unknown
Youri Tielemans,MID,58,291,20,13,True,4,90,1,0.0,0.0,3.6,9.6,26.3,0,0.0,0.11,0.11,1.49,0,0,15,2,56,2.0,0,2,7,,1.0,1.0,0.0,,,Unknown
Remo Freuler,MID,446,298,8,11,True,4,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,49,0.0,1,1,16,,0.0,0.0,0.0,,,Unknown
Granit Xhaka,MID,30,296,13,1,False,3,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,60,0.0,0,0,2,,0.0,0.0,0.0,,,Unknown
Saïd Benrahma,MID,525,297,15,4,False,3,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,56,0.0,3,4,14,,0.0,0.0,0.0,,,Unknown
Brandon Aguilera Zamora,MID,434,298,8,11,True,4,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,45,0.0,1,1,16,,0.0,0.0,0.0,,,Unknown
Dominic Sadi,MID,811,292,9,17,True,5,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,45,0.0,1,2,15,,0.0,0.0,0.0,,,Unknown
Tyler Onyango,MID,650,292,3,15,False,5,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,44,0.0,1,2,17,,0.0,0.0,0.0,,,Unknown
Mahamadou Susoho,MID,762,296,1,2,True,3,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,45,0.0,0,0,1,,0.0,0.0,0.0,,,Unknown
Gustavo Hamer,MID,663,299,10,10,True,4,90,1,0.0,1.0,3.7,18.4,15.2,3,0.05,0.41,0.46,1.35,0,0,16,4,49,3.8,3,3,PROMOTED,,1.0,0.0,3.0,,,Unknown
Saman Ghoddos,MID,701,293,14,3,True,3,3,0,0.0,0.0,0.3,2.2,0.5,0,0.0,0.1,0.1,0.19,0,0,5,1,45,0.5,1,1,9,,0.0,0.0,1.0,,,Unknown
Allan Campbell,MID,319,300,18,8,False,4,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,49,0.0,1,2,PROMOTED,,0.0,0.0,0.0,,,Unknown
Carlos Mendes Gomes,MID,325,300,18,8,False,4,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,45,0.0,1,2,PROMOTED,,0.0,0.0,0.0,,,Unknown
Pedro Lomba Neto,MID,567,291,2,7,False,4,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,56,0.0,0,2,13,,0.0,0.0,0.0,,,Unknown
Enzo Fernández,MID,199,294,6,PROMOTED,True,5,90,1,0.0,0.0,7.8,22.8,30.7,24,0.18,0.14,0.32,1.58,0,0,19,2,48,3.5,2,2,12,,0.0,0.0,2.0,,,Unknown
Ben Brereton,MID,775,299,10,10,True,4,90,1,2.0,1.0,17.0,98.2,11.9,60,1.03,0.5,1.52,1.35,0,3,51,18,50,5.8,3,3,PROMOTED,,0.0,0.0,3.0,,,Unknown
Demarai Gray,MID,253,292,3,15,False,5,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,53,0.0,1,2,17,,0.0,0.0,0.0,,,Unknown
Matthew Whittingham,MID,749,291,2,7,False,4,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,45,-0.5,0,2,13,,0.0,0.0,0.0,,,Unknown
